id;parent_type;parent_id;user_id;created_at
0af47688-1c8e-41a3-a3b0-631002c8d24d;encouragement than;0a5e56c7-21fb-45a2-bffe-2125daa71593;18fc505d-3de5-4010-a88a-f6446d302ea6;2025-06-20T16:26:24
c862b6a8-619f-4ef9-b53b-be2870681df0;cardboard along um;0f32ec24-bd2f-435e-80ce-1f32a6c5d33d;4df2f927-9378-4163-837b-22f9ff176780;2025-06-20T18:16:11
63360b4a-6359-438f-9961-1da576a3798e;because procurement unethically;31faec5b-a4ad-4b25-a6d9-0e05aaf346fb;ff5c594c-33ce-4b7b-9b8f-0580cab6c79a;2025-06-20T22:06:28
52133c60-0241-4a39-a183-7c96b93f1ddd;arcade until substitution;4ef6f812-dcac-44ca-a2ec-5ab733d6a601;b779b335-1f60-4673-ab2a-5be4fc39aae8;2025-06-21T13:30:38
f72afe90-5375-42ef-b90e-6b78745451ff;bah;34d28e36-013a-430b-89d2-4d4e76880767;993ec239-aac9-432d-84d1-3656ba261036;2025-06-20T16:58:25
f0f6e1ba-b9ae-420c-972d-d4071b3a3145;beautifully strident;d151c489-97ef-45ff-9850-22a89f3ccab0;e2c2f785-18d7-40f1-b46c-09719b93bc20;2025-06-21T01:58:44
dd17d2d9-711a-4806-a224-bea0f901958d;imaginative jealously utterly;17076722-4342-44b0-8bca-ac976fa33f65;537d1885-a7c8-41bb-aac6-3f1c1e9de920;2025-06-20T19:40:10
29beb1bf-cf0d-46c4-9c12-b884268c80e7;apropos;d26dcd97-bafe-420a-97f1-3b1fb7f511d3;9129c6d5-a051-4be9-8342-23b4ac384ace;2025-06-20T23:07:17
9e0776d2-f833-4d20-9f5b-375b24f20983;carefree malfunction;ad2a7f14-fbd7-43e1-ae5a-d9c68cba052a;82450549-6b3c-4561-9837-b05df934b572;2025-06-20T19:48:22
858c3b83-c7d6-4419-8de5-bd78218b19ba;quizzically astride shyly;c8efc2fe-a2c4-4638-8bce-29fb44c0cc1b;7732ded6-e1aa-41db-94cc-86d7a64a5e54;2025-06-21T05:51:59
