id;parent_type;parent_id;user_id;content;created_at;updated_at;mentions
8e5ca1c6-c38d-4933-9f0a-e1b44315cc73;violently why;a8668c5d-0213-4779-8461-c5d1698060f2;09c56812-8af6-448c-9c81-dc2e92c1ad70;../fake-data/blob/hipster.txt;2025-04-21T16:21:25;2025-04-21T13:51:00;ea8de922-d03c-43e9-9c60-63634bdb79c8
c49800f0-8354-4fe9-8dfa-ba03dc06cd51;anenst austere;89410a21-9ff9-427e-9b5b-850749f75c27;4d5a4342-9aaa-434c-9fc7-edb76745bdb7;../fake-data/blob/hipster.txt;2025-04-22T00:11:22;2025-04-22T02:39:10;aebe16e7-5810-4588-a039-81078870585f
12c8a1e5-537b-4995-bac4-a5614c65ae0b;yet;6b0ba847-71c6-4389-a586-07fbd018b523;ebb93e1a-2351-4f42-a073-4f35b4fdada2;../fake-data/blob/hipster.txt;2025-04-21T08:50:29;2025-04-21T22:46:48;7f197d34-c08d-47ba-bf38-539389ef45d8
541b5b7a-30b1-4451-9c30-b7707b3a275c;search;9be0a601-8daf-46b5-b9bc-52a79382e42e;0a0092d6-8242-4945-aeaa-e98cf064ef66;../fake-data/blob/hipster.txt;2025-04-21T22:15:35;2025-04-21T06:52:40;2a05bfdd-8b45-430a-98df-8aa01eb28cbf
9101ef97-c4bb-4b86-8ec5-ec766ea5a99d;loudly;50629040-edb0-4adb-83b3-d94375031858;e22f5ff1-fd29-4dc2-894e-778cec09a266;../fake-data/blob/hipster.txt;2025-04-21T15:00:11;2025-04-22T02:48:51;8d88f3fa-18e0-47f8-bd13-34d0cd24cbf8
c17d9b66-bd5e-415a-9fe5-f9de6e524bb4;provided ultimately;1eb82c09-a9bc-4886-91b0-026d764ecf6e;ab5a28a1-865c-46fc-862e-5a7e96c34ca5;../fake-data/blob/hipster.txt;2025-04-21T18:15:22;2025-04-21T10:11:13;e10ee4c7-91b5-441c-bfc0-64a8c6853969
914d7dbb-8e05-4e21-96e9-5276fc382a2e;hm deafening plus;5340f276-5af9-456a-b46d-5aa04d602a39;d2b2d4e4-574b-4251-bbb4-be95cb68e439;../fake-data/blob/hipster.txt;2025-04-21T06:44:46;2025-04-21T14:42:04;936e4df3-7e1b-447c-b579-030435356265
b6a5ee9f-4e60-4fc5-971b-0cda00073ccf;mouser whose if;515b0a9f-768a-43f6-a07e-928a8455db02;2adbcbe9-0902-42c2-bcae-2a4429b7b6e7;../fake-data/blob/hipster.txt;2025-04-22T03:24:19;2025-04-21T17:42:34;51bfde56-d669-4073-8757-3e2f06a3c75e
b3158ed0-f362-4cb0-841f-ccb4e5a46f7b;frightened tenderly;1f492a9e-c17e-43d2-b0c9-ff0a2d3ed68c;2b0a4a1a-28d0-4fb7-8d79-cf9b563c3392;../fake-data/blob/hipster.txt;2025-04-21T09:38:34;2025-04-22T01:45:38;29f3d9b0-5cbb-419a-9e21-e02cc136ee72
5bfc1827-4d64-4ba6-bc81-50829dd60b66;upright meh;eb2c1e3b-a678-4e55-b7fe-3b93aa5adda2;e5749dbb-c858-49fc-b4b5-02311b2bec5e;../fake-data/blob/hipster.txt;2025-04-21T17:09:48;2025-04-22T04:16:54;c001f4cf-627f-47df-a7c0-1163cc420b42
